gfst_node_name,crosstypecast_functions
TYPE:_:_:dailycount,"from semantic_type_base_classes_gen import GeneralSemanticType

def cross_type_cast_between_dailycount_and_numericcount(val):
    reason='dailycount and numericcount both represent the count of some entity and they are both formatted as floating point numbers.'
    return val

def cross_type_cast_between_dailycount_and_daycount(val):
    reason='dailycount and daycount both represent the count of some entity and they are both formatted as floating point numbers.'
    return val

def cross_type_cast_between_dailycount_and_valuecount(val):
    reason='dailycount and valuecount both represent the count of some entity and they are both formatted as floating point numbers.'
    return val

def cross_type_cast_between_dailycount_and_yearcount(val):
    reason='dailycount and yearcount both represent the count of some entity and they are both formatted as floating point numbers.'
    return val

def cross_type_cast_between_dailycount_and_populationcount(val):
    reason='dailycount and populationcount both represent the count of some entity. The dailycount is formatted as a float and the populationcount is an integer, but a float can be converted to an integer without loss of information if it is known that the float represents whole numbers.'
    return int(val)

def cross_type_cast_between_dailycount_and_pagecount(val):
    reason='dailycount and pagecount both represent the count of some entity and they are both formatted as floating point numbers.'
    return val

def cross_type_cast_between_dailycount_and_numbercount(val):
    reason='dailycount and numbercount both represent the count of some entity. The dailycount is formatted as a float and the numbercount is an integer, but a float can be converted to an integer without loss of information if it is known that the float represents whole numbers.'
    return int(val)

def cross_type_cast_between_dailycount_and_totalcount(val):
    reason='dailycount and totalcount both represent the count of some entity. The dailycount is formatted as a float and the totalcount is an integer, but a float can be converted to an integer without loss of information if it is known that the float represents whole numbers.'
    return int(val)

def cross_type_cast_between_dailycount_and_daysoncschedule(val):
    reason='dailycount and daysoncschedule both represent the count of some entity. The dailycount is formatted as a float and the daysoncschedule is an integer, but a float can be converted to an integer without loss of information if it is known that the float represents whole numbers.'
    return int(val)

def cross_type_cast_between_dailycount_and_daysonreturn(val):
    reason='dailycount and daysonreturn both represent the count of some entity. The dailycount is formatted as a float and the daysonreturn is an integer, but a float can be converted to an integer without loss of information if it is known that the float represents whole numbers.'
    return int(val)

def cross_type_cast_between_dailycount_and_daysoncontact(val):
    reason='dailycount and daysoncontact both represent the count of some entity. The dailycount is formatted as a float and the daysoncontact is an integer, but a float can be converted to an integer without loss of information if it is known that the float represents whole numbers.'
    return int(val)

def cross_type_cast_between_dailycount_and_countrycount(val):
    reason='dailycount and countrycount both represent the count of some entity. The dailycount is formatted as a float and the countrycount is an integer, but a float can be converted to an integer without loss of information if it is known that the float represents whole numbers.'
    return int(val)

def cross_type_cast_between_dailycount_and_articlecount(val):
    reason='dailycount and articlecount both represent the count of some entity. The dailycount is formatted as a float and the articlecount is an integer, but a float can be converted to an integer without loss of information if it is known that the float represents whole numbers.'
    return int(val)

def cross_type_cast_between_dailycount_and_daysinreview(val):
    reason='dailycount and daysinreview both represent the count of some entity. The dailycount is formatted as a float and the daysinreview is a float, so they are directly convertible.'
    return val

def cross_type_cast_between_dailycount_and_integercount(val):
    reason='dailycount and integercount both represent the count of some entity. The dailycount is formatted as a float and the integercount is an integer, but a float can be converted to an integer without loss of information if it is known that the float represents whole numbers.'
    return int(val)"
TYPE:_:_:symptoms,"
FUNCTIONS = {
    ""cross_type_cast_between_symptoms_and_negativesymptomsscore"": lambda val: val
}
reason='symptoms and negativesymptomsscore both represent a score related to health status. The map between the two is a direct transfer as both are represented as positive floating point numbers.'
"
TYPE:_:_:searchvolume,"
def cross_type_cast_between_searchvolume_and_volume(val):
    reason = 'searchvolume and volume both represent quantities of a particular entity, and can be represented as floats. Therefore, a value can be directly used from one class to another.'
    return val

def cross_type_cast_between_searchvolume_and_volumeml(val):
    reason = 'searchvolume and volumeml both represent quantities of a particular entity, and can be represented as floats. Therefore, a value can be directly used from one class to another.'
    return val

def cross_type_cast_between_searchvolume_and_vol(val):
    reason = 'searchvolume and vol both represent quantities of a particular entity, and can be represented as floats. Therefore, a value can be directly used from one class to another.'
    return round(val, 2)

def cross_type_cast_between_searchvolume_and_indexvalue(val):
    reason = 'searchvolume and indexvalue both represent quantities of a particular entity, and can be represented as floats. Therefore, a value can be directly used from one class to another.'
    return val

def cross_type_cast_between_searchvolume_and_scientificvalue(val):
    reason = 'searchvolume and scientificvalue both represent quantities of a particular entity, and can be represented as floats. Therefore, a value can be directly used from one class to another.'
    return val

def cross_type_cast_between_searchvolume_and_tstsize(val):
    reason = 'searchvolume and tstsize both represent quantities of a particular entity, and can be represented as floats. Therefore, a value can be directly used from one class to another.'
    return val if 0 <= val <= 25 else float('nan')

def cross_type_cast_between_searchvolume_and_voteshare(val):
    reason = 'searchvolume and voteshare both represent quantities of a particular entity, and can be represented as floats. Therefore, a value can be directly used from one class to another.'
    return round(val, 3) if 0 <= val <= 100 else float('nan')
"
TYPE:_:_:totalcount,"from semantic_type_base_classes_gen import GeneralSemanticType

def cross_type_cast_between_totalcount_and_count(val):
    reason = 'Total count and count both represent the same real-world entity, which is a count of instances. Thus, they can be directly mapped.'
    return val

def cross_type_cast_between_totalcount_and_populationcount(val):
    reason = 'Although population count and total count are not strictly the same, they both represent a count of entities. Thus, they can be directly mapped under the assumption that the total count refers to a population count.'
    return val

def cross_type_cast_between_totalcount_and_numericcount(val):
    reason = 'Total count and numeric count both represent the same real-world entity, which is a count of instances. However, numeric count is represented as a float. Hence, we need to convert the integer total count to a float.'
    return float(val)

def cross_type_cast_between_totalcount_and_numbercount(val):
    reason = 'Total count and number count both represent the same real-world entity, which is a count of instances. Thus, they can be directly mapped.'
    return val

def cross_type_cast_between_totalcount_and_integercount(val):
    reason = 'Total count and integer count both represent the same real-world entity, which is a count of instances. Thus, they can be directly mapped.'
    return val

def cross_type_cast_between_totalcount_and_total(val):
    reason = 'Total count and total both represent the same real-world entity, which is a total number of instances. Thus, they can be directly mapped.'
    return val

def cross_type_cast_between_totalcount_and_valuecount(val):
    reason = 'Total count and value count both represent the same real-world entity, which is a count of instances. However, value count is represented as a float. Hence, we need to convert the integer total count to a float.'
    return float(val)

def cross_type_cast_between_totalcount_and_firearmcount(val):
    reason = 'Although firearm count and total count are not strictly the same, they both represent a count of entities. Thus, they can be directly mapped under the assumption that the total count refers to a firearm count.'
    return val

def cross_type_cast_between_totalcount_and_totalnumber(val):
    reason = 'Total count and total number both represent the same real-world entity, which is a total number of instances. However, total number is represented as a float. Hence, we need to convert the integer total count to a float.'
    return float(val)

def cross_type_cast_between_totalcount_and_visitorcount(val):
    reason = 'Although visitor count and total count are not strictly the same, they both represent a count of entities. Thus, they can be directly mapped under the assumption that the total count refers to a visitor count.'
    return val

def cross_type_cast_between_totalcount_and_dailycount(val):
    reason = 'Although daily count and total count are not strictly the same, they both represent a count of entities. Thus, they can be directly mapped under the assumption that the total count refers to a daily count.'
    return float(val)

def cross_type_cast_between_totalcount_and_demonstrationcount(val):
    reason = 'Although demonstration count and total count are not strictly the same, they both represent a count of entities. Thus, they can be directly mapped under the assumption that the total count refers to a demonstration count.'
    return val

def cross_type_cast_between_totalcount_and_countrycount(val):
    reason = 'Although country count and total count are not strictly the same, they both represent a count of entities. Thus, they can be directly mapped under the assumption that the total count refers to a country count.'
    return val"
TYPE:_:_:studentclass,"
def cross_type_cast_between_studentclass_and_schoolgrade(val):
    reason = 'studentclass and schoolgrade both represent the class/grade of the student.'
    return int(val)

def cross_type_cast_between_studentclass_and_studentlevel(val):
    reason = 'studentclass and studentlevel both represent the level of the student.'
    return int(val)

def cross_type_cast_between_studentclass_and_gradecode(val):
    reason = 'studentclass and gradecode both represent the grade of the student. Converting grade number to the corresponding grade code.'
    return 'P' + str(val)
"
TYPE:_:_:studentage,"
def cross_type_cast_between_studentage_and_agestudent(val):
    reason='studentage and agestudent both represent the real-world entity, age of a student. Hence, they are semantically compatible and can be directly casted to each other.'
    return val

def cross_type_cast_between_studentage_and_participantageyears(val):
    reason='studentage and participantageyears both represent the real-world entity, age of a person involved in an educational setting. Hence, they are semantically compatible and can be directly casted to each other.'
    return val

def cross_type_cast_between_studentage_and_age(val):
    reason='studentage and age both represent the real-world entity, age of a person. Hence, they are semantically compatible and can be directly casted to each other.'
    return val

def cross_type_cast_between_studentage_and_ageresponse(val):
    reason='studentage and ageresponse both represent the real-world entity, age of a person. Hence, they are semantically compatible and can be directly casted to each other.'
    return val
"
TYPE:_:_:studentgender,"
def cross_type_cast_between_studentgender_and_gendertype(val):
    reason = 'studentgender and gendertype both represent the real-world entity, gender. The map between the two is a straightforward conversion where ""M"" is mapped to 1 and ""F"" is mapped to 2.'
    if val == 'M':
        return 1
    elif val == 'F':
        return 2

def cross_type_cast_between_studentgender_and_participantgender(val):
    reason = 'studentgender and participantgender both represent the real-world entity, gender. The map between the two is a straightforward conversion where the string is just converted to lower-case.'
    return val.lower()

def cross_type_cast_between_studentgender_and_gender(val):
    reason = 'studentgender and gender both represent the real-world entity, gender. The map between the two is a straightforward conversion where ""M"" is mapped to ""Male"" and ""F"" is mapped to ""Female"".'
    if val == 'M':
        return 'Male'
    elif val == 'F':
        return 'Female'

def cross_type_cast_between_studentgender_and_patientgender(val):
    reason = 'studentgender and patientgender both represent the real-world entity, gender. The map between the two is a straightforward conversion where ""M"" is mapped to ""Male"" and ""F"" is mapped to ""Female"".'
    if val == 'M':
        return 'Male'
    elif val == 'F':
        return 'Female'

def cross_type_cast_between_studentgender_and_personsex(val):
    reason = 'studentgender and personsex both represent the real-world entity, gender. The map between the two is a straightforward conversion where the string is just converted to lower-case.'
    return val.lower()

def cross_type_cast_between_studentgender_and_sex(val):
    reason = 'studentgender and sex both represent the real-world entity, gender. The map between the two is a straightforward conversion where the string is just converted to lower-case.'
    return val.lower()

def cross_type_cast_between_studentgender_and_respondentgender(val):
    reason = 'studentgender and respondentgender both represent the real-world entity, gender. The map between the two is a straightforward conversion where ""M"" is mapped to ""male"" and ""F"" is mapped to ""female"".'
    if val == 'M':
        return 'male'
    elif val == 'F':
        return 'female'

def cross_type_cast_between_studentgender_and_gendercode(val):
    reason = 'studentgender and gendercode both represent the real-world entity, gender. The map between the two is a straightforward conversion where ""M"" is mapped to ""1"" and ""F"" is mapped to ""2"".'
    if val == 'M':
        return '1'
    elif val == 'F':
        return '2'

def cross_type_cast_between_studentgender_and_gendercategory(val):
    reason = 'studentgender and gendercategory both represent the real-world entity, gender. The map between the two is a straightforward conversion where ""M"" is mapped to 0 and ""F"" is mapped to 1.'
    if val == 'M':
        return 0
    elif val == 'F':
        return 1
"
TYPE:_:_:meqscore,"
# Given the definitions of the SOURCE and TARGET classes, theres no valid type casting that can be made.
# The reason is that all the classes represent different kind of measures that dont have a logical conversion between them.
# For example, 'meqscore' represents a Morningness-Eveningness Questionnaire (MEQ) score, while 'examrating' represents a rating of exams/quizzes. Theres no way to map a MEQ score to an exam rating, because they are measures of different things. The same applies to all the other classes. Hence, no cross_type_cast functions can be written for these classes."
TYPE:_:_:staisscore,"

def cross_type_cast_between_staisscore_and_staittraitscore(val):
    reason = 'staisscore and staittraitscore both represent the real-world entity, STAI score. The mapping between the two is possible as they are both anxiety scores and use the same floating point format.'
    return val

def cross_type_cast_between_staisscore_and_anxietyrsqscore(val):
    reason = 'staisscore and anxietyrsqscore both represent the real-world entity, anxiety score. The mapping between the two is possible as they are both anxiety scores and use the same floating point format.'
    return val

def cross_type_cast_between_staisscore_and_anxietyindex(val):
    reason = 'staisscore and anxietyindex both represent the real-world entity, anxiety score. However, the mapping between the two requires a normalization as anxietyindex is scaled between 0 and 5.'
    return (val - 20) / (71 - 20) * (5 - 0) + 0

def cross_type_cast_between_staisscore_and_anxietybatscore(val):
    reason = 'staisscore and anxietybatscore both represent the real-world entity, anxiety score. The mapping between the two is possible as they are both anxiety scores and use the same floating point format.'
    return val

def cross_type_cast_between_staisscore_and_anxiety(val):
    reason = 'staisscore and anxiety both represent the real-world entity, anxiety level. However, the mapping between the two requires a normalization as anxiety is scaled between 1 and 4.'
    return (val - 20) / (71 - 20) * (4 - 1) + 1

def cross_type_cast_between_staisscore_and_score(val):
    reason = 'staisscore and score both represent the real-world entity, score. The mapping between the two is possible as they are both scores and use the same floating point format.'
    return val

def cross_type_cast_between_staisscore_and_avoidancersqscore(val):
    reason = 'staisscore and avoidancersqscore both represent the real-world entity, RSQ score. The mapping between the two is possible as they are both RSQ scores and use the same floating point format.'
    return val

def cross_type_cast_between_staisscore_and_negativesymptomsscore(val):
    reason = 'staisscore and negativesymptomsscore both represent the real-world entity, score. The mapping between the two is possible as they are both scores and use the same floating point format.'
    return val

def cross_type_cast_between_staisscore_and_hypomaniascore(val):
    reason = 'staisscore and hypomaniascore both represent the real-world entity, score. The mapping between the two is possible as they are both scores and use the same floating point format.'
    return val

def cross_type_cast_between_staisscore_and_rating(val):
    reason = 'staisscore and rating both represent the real-world entity, rating. However, the mapping between the two requires a normalization as rating is scaled between 1 and 10.'
    return (val - 20) / (71 - 20) * (10 - 1) + 1

def cross_type_cast_between_staisscore_and_worry(val):
    reason = 'staisscore and worry both represent the real-world entity, worry level. However, the mapping between the two requires a normalization as worry is scaled between 0 and 10.'
    return (val - 20) / (71 - 20) * (10 - 0) + 0

def cross_type_cast_between_staisscore_and_superstitionscore(val):
    reason = 'staisscore and superstitionscore both represent the real-world entity, score. The mapping between the two is possible as they are both scores and use the same floating point format.'
    return val

def cross_type_cast_between_staisscore_and_cnaq(val):
    reason = 'staisscore and cnaq both represent the real-world entity, CNAQ score. The mapping between the two is possible as they are both CNAQ scores and use the same floating point format.'
    return val

def cross_type_cast_between_staisscore_and_homiciderate(val):
    reason = 'staisscore and homiciderate both represent the real-world entity, rate. However, the mapping between the two requires a normalization as homiciderate is scaled between 0 and 100.'
    return (val - 20) / (71 - 20) * (100 - 0) + 0

def cross_type_cast_between_staisscore_and_examrating(val):
    reason = 'staisscore and examrating both represent the real-world entity, rating. However, the mapping between the two requires a normalization as examrating is scaled between 0 and 5.'
    return (val - 20) / (71 - 20) * (5 - 0) + 0

def cross_type_cast_between_staisscore_and_stress(val):
    reason = 'staisscore and stress both represent the real-world entity, stress level. However, the mapping between the two requires a normalization as stress is scaled between 0 and 100.'
    return (val - 20) / (71 - 20) * (100 - 0) + 0

def cross_type_cast_between_staisscore_and_ratingscore(val):
    reason = 'staisscore and ratingscore both represent the real-world entity, rating score. However, the mapping between the two requires a normalization as ratingscore is scaled between 0 and 100.'
    return (val - 20) / (71 - 20) * (100 - 0) + 0

def cross_type_cast_between_staisscore_and_emotionvalence(val):
    reason = 'staisscore and emotionvalence both represent the real-world entity, emotion valence. However, the mapping between the two requires a normalization as emotionvalence is scaled between 1.4 and 6.'
    return (val - 20) / (71 - 20) * (6 - 1.4) + 1.4

def cross_type_cast_between_staisscore_and_binaryscore(val):
    reason = 'staisscore and binaryscore both represent the real-world entity, binary score. However, the mapping between the two requires a normalization as binaryscore is scaled between 1 and 2.'
    return (val - 20) / (71 - 20) * (2 - 1) + 1
"
TYPE:_:_:staittraitscore,
