gfst_name,gfst_classes
dailycount,"class dailycount(GeneralSemanticType):

    def __init__(self):
        self.description = 'Daily Count'
        self.format = 'Counts should be formatted as a float'
        self.examples = [0.0, 4.0, 94.0, 59.0, 93.0]

    def super_cast(self, val):
        try:
            return float(val)
        except ValueError:
            raise ValueError(""Invalid value for daily count. Please provide a valid float value."")

    def validate(self, val):
        casted_val = self.super_cast(val)
        if isinstance(casted_val, float) and 0 <= casted_val <= float('inf'):
            return True
        else:
            return False"
symptoms,"class symptoms(GeneralSemanticType):
    def __init__(self):
        self.description = 'Symptoms'
        self.format = 'Symptoms should be formatted as a float'
        self.examples = [5885.0, 6448.0, 6392.0, 6570.0, 6564.0]

    def super_cast(self, val):
        try:
            return float(val)
        except (ValueError, TypeError):
            return None

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val is None:
            return False
        if casted_val < 0 or np.isinf(casted_val):
            return False
        return True"
searchvolume,"
class searchvolume(GeneralSemanticType):
    def __init__(self):
        self.description = 'Search Volume'
        self.format = 'Formatted as a float'
        self.examples = [0.0, 0.0, 0.0, 0.0, 0.0]

    def super_cast(self, val):
        try:
            return float(val)
        except ValueError:
            raise Exception(f'Value {val} cannot be casted to float')

    def validate(self, val):
        casted_val = self.super_cast(val)
        if isinstance(casted_val, float) and casted_val >= 0:
            return True
        else:
            return False"
totalcount,"class totalcount(GeneralSemanticType):

    def __init__(self):
        self.description = 'Total count of a certain category'
        self.format = 'Count should be a non-negative integer'
        self.examples = [298820, 161187, 137633, 8746, 10]

    def super_cast(self, val):
        if pd.isna(val) or val == '' or val == 'Total':
            return float('nan')
        else:
            return int(val)

    def validate(self, val):
        casted_val = self.super_cast(val)
        if isinstance(casted_val, int) and casted_val >= 0:
            return True
        else:
            return False"
studentclass,"class studentclass(GeneralSemanticType):

    def __init__(self):
        self.description = 'Class (grade level) the student is in'
        self.format = 'A single digit string representing the class'
        self.examples = ['1', '2', '3', '4', '5']

    def super_cast(self, val):
        if pd.isna(val):
            return float('nan')
        return str(int(val))

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val.isdigit() and 1 <= int(casted_val) <= 9:
            return True
        else:
            return False"
studentage,"class studentage(GeneralSemanticType):
    def __init__(self):
        self.description = 'Student age in years'
        self.format = 'Age should be a positive integer'
        self.examples = [15, 17, 19, 21, 25]

    def super_cast(self, val):
        if isinstance(val, str) and val.isdigit():
            return int(val)
        else:
            return val

    def validate(self, val):
        casted_val = self.super_cast(val)
        if isinstance(casted_val, int) and 0 <= casted_val <= 100:
            return True
        else:
            return False"
studentgender,"class studentgender(GeneralSemanticType):
    def __init__(self):
        self.description = ""The gender of a student""
        self.format = ""upper-cased string""
        self.examples = ['M', 'F', 'M', 'F', 'M']

    def super_cast(self, val):
        str_val = str(val).upper()
        if str_val in ['M', 'F']:
            return str_val
        else:
            raise ValueError(f'Invalid value for gender: {str_val}')

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val in ['M', 'F']:
            return True
        else:
            return False"
meqscore,"class meqscore(GeneralSemanticType):

    def __init__(self):
        self.description = 'Morningness–Eveningness Questionnaire (MEQ) score'
        self.format = 'MEQ score should be a floating point number'
        self.examples = [39.0, 63.0, 36.0, 61.0, 44.0]

    def super_cast(self, val):
        if pd.isna(val):
            return float('nan')
        else:
            return float(val)

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val >= 21.0 and casted_val <= 72.0:
            return True
        else:
            return False"
staisscore,"
class staisscore(GeneralSemanticType):
    def __init__(self):
        self.description = 'STAI State-Anxiety score'
        self.format = 'STAI State-Anxiety score should be a floating point number'
        self.examples = [48.0, 46.0, 56.0, 38.0, 45.0]

    def super_cast(self, val):
        if pd.isna(val):
            return float('nan')
        else:
            return float(val)

    def validate(self, val):
        casted_val = self.super_cast(val)
        if casted_val >= 20 and casted_val <= 71:
            return True
        else:
            return False"
staittraitscore,"class staittraitscore(GeneralSemanticType):

    def __init__(self):
        self.description: str = 'STAI Trait-Anxiety score'
        self.format: str = 'STAI Trait-Anxiety score should be a floating point number'
        self.examples: list = [40.0, 54.0, 56.0, 46.0, 43.0]

    def super_cast(self, val):
        if pd.isna(val):
            return float('nan')
        return float(val)

    def validate(self, val):
        casted_val = self.super_cast(val)
        if pd.isna(casted_val):
            return True
        elif casted_val >= 23 and casted_val <= 67:
            return True
        else:
            return False"
psqiscore,"
class psqiscore(GeneralSemanticType):

    def __init__(self):
        self.description = 'Pittsburgh Sleep Quality Index (PSQI) score'
        self.format = 'A single digit string representing the PSQI score'
        self.examples = ['5', '4', '6', '8', '7']

    def super_cast(self, val):
        if pd.isna(val):
            return float('nan')
        return str(int(val))

    def validate(self, val):
        casted_val = self.super_cast(val)
        if pd.isna(casted_val):
            return False
        try: 
            int_val = int(casted_val)
            if 0 <= int_val <= 10:
                return True
            else:
                return False
        except ValueError:
            return False"
